학교명,설립형태,시도명,주소,설립일,lon,lat
한신대,사립,경기도,경기도 오산시 한신대길 137,1940-04-19,127.027451982136,37.1925943198315
한양대,사립,서울특별시,서울특별시 성동구 왕십리로 222,1948-07-01,127.046611216789,37.5545035492027
한양사이버대,사립,서울특별시,서울특별시 성동구 왕십리로 220,2002-03-01,127.047518974715,37.5571863579301
한일장신대,사립,전라북도,전라북도 완주군 상관면 왜목로 726-15,1995-03-01,127.205860465992,35.7642830072176
한중대,사립,강원도,강원도 동해시 지양길 200,1991-11-30,129.086646819652,37.5043787047941
협성대,사립,경기도,경기도 화성시 봉담읍 최루백로 72,1983-03-04,126.953622970263,37.2132508835744
호남대,사립,광주광역시,광주광역시 광산구 호남대길 120,1981-07-31,126.765040345608,35.1499676556862
호남신학대,사립,광주광역시,광주광역시 남구 제중로 77,1972-02-16,126.910568702512,35.1401102946897
호서대,사립,충청남도,충청남도 아산시 배방읍 호서로79번길 20,1980-12-29,127.077106928498,36.7344630229927
호원대,사립,전라북도,전라북도 군산시 임피면 호원대3길 64,1978-03-02,126.863787678587,35.9679261845471
홍익대,사립,서울특별시,서울특별시 마포구 와우산로 94,1946-04-25,126.924990619497,37.5525192523979
화성의과학대,사립,경기도,경기도 화성시 남양읍 남양중앙로 400-5,2004-04-07,126.83953419795,37.2027515359928
화신사이버대,사립,부산광역시,부산광역시 연제구 고분로191번길 1,2009-03-01,129.103257582645,35.1857461829433
