"등급","과목","구분 점수","인원(명)","비율(%)","","","","","","","",""
"9","생명 과학 Ⅱ","34","931","3.01","","","","","","","",""
"1","지구 과학 Ⅱ","68","517","5.81","","","","","","","",""
"2","지구 과학 Ⅱ","64","631","7.09","","","","","","","",""
"3","지구 과학 Ⅱ","59","959","10.78","","","","","","","",""
"4","지구 과학 Ⅱ","51","1808","20.32","","","","","","","",""
"5","지구 과학 Ⅱ","45","1860","20.9","","","","","","","",""
"6","지구 과학 Ⅱ","41","1356","15.24","","","","","","","",""
"7","지구 과학 Ⅱ","39","822","9.24","","","","","","","",""
"8","지구 과학 Ⅱ","35","710","7.98","","","","","","","",""
"9","지구 과학 Ⅱ","35","235","2.64","","","","","","","",""
"1","농생명 산업","139","24","4.15","","","","","","","",""
"2","농생명 산업","126","48","8.3","","","","","","","",""
"3","농생명 산업","116","64","11.07","","","","","","","",""
"4","농생명 산업","102","110","19.03","","","","","","","",""
"5","농생명 산업","94","106","18.34","","","","","","","",""
"6","농생명 산업","84","97","16.78","","","","","","","",""
"7","농생명 산업","77","68","11.76","","","","","","","",""
"8","농생명 산업","68","39","6.75","","","","","","","",""
"9","농생명 산업","68","22","3.81","","","","","","","",""
"1","공업","140","150","4.44","","","","","","","",""
"2","공업","131","231","6.84","","","","","","","",""
"3","공업","117","407","12.04","","","","","","","",""
"4","공업","100","594","17.58","","","","","","","",""
"5","공업","91","660","19.53","","","","","","","",""
"6","공업","84","631","18.67","","","","","","","",""
"7","공업","78","358","10.59","","","","","","","",""
"8","공업","73","228","6.75","","","","","","","",""
"9","공업","73","120","3.55","","","","","","","",""
"1","상업 정보","140","186","4.27","","","","","","","",""
"2","상업 정보","130","296","6.79","","","","","","","",""
"3","상업 정보","115","559","12.82","","","","","","","",""
"4","상업 정보","101","803","18.42","","","","","","","",""
"5","상업 정보","90","810","18.58","","","","","","","",""
"6","상업 정보","83","779","17.87","","","","","","","",""
"7","상업 정보","77","603","13.83","","","","","","","",""
"8","상업 정보","74","154","3.53","","","","","","","",""
"9","상업 정보","74","170","3.9","","","","","","","",""
"1","수산·해운","137","4","5.71","","","","","","","",""
"2","수산·해운","124","7","10","","","","","","","",""
"3","수산·해운","114","6","8.57","","","","","","","",""
"4","수산·해운","104","12","17.14","","","","","","","",""
"5","수산·해운","96","13","18.57","","","","","","","",""
"6","수산·해운","83","13","18.57","","","","","","","",""
"7","수산·해운","75","8","11.43","","","","","","","",""
"8","수산·해운","69","5","7.14","","","","","","","",""
"9","수산·해운","69","2","2.86","","","","","","","",""
"1","가사·실업","139","67","4.3","","","","","","","",""
"2","가사·실업","129","107","6.86","","","","","","","",""
"3","가사·실업","115","205","13.15","","","","","","","",""
"4","가사·실업","102","262","16.81","","","","","","","",""
"5","가사·실업","93","314","20.14","","","","","","","",""
"6","가사·실업","84","267","17.13","","","","","","","",""
"7","가사·실업","77","180","11.55","","","","","","","",""
"8","가사·실업","71","97","6.22","","","","","","","",""
"9","가사·실업","71","60","3.85","","","","","","","",""
"1","독일어 Ⅰ","65","107","6.57","","","","","","","",""
"2","독일어 Ⅰ","64","82","5.04","","","","","","","",""
"3","독일어 Ⅰ","61","201","12.35","","","","","","","",""
"4","독일어 Ⅰ","54","292","17.94","","","","","","","",""
"5","독일어 Ⅰ","44","314","19.29","","","","","","","",""
"6","독일어 Ⅰ","40","318","19.53","","","","","","","",""
"7","독일어 Ⅰ","39","141","8.66","","","","","","","",""
"8","독일어 Ⅰ","37","120","7.37","","","","","","","",""
"9","독일어 Ⅰ","37","53","3.26","","","","","","","",""
"1","프랑스어 Ⅰ","64","158","9.31","","","","","","","",""
"2","프랑스어 Ⅰ","63","92","5.42","","","","","","","",""
"3","프랑스어 Ⅰ","61","151","8.9","","","","","","","",""
"4","프랑스어 Ⅰ","55","314","18.5","","","","","","","",""
"5","프랑스어 Ⅰ","44","324","19.09","","","","","","","",""
"6","프랑스어 Ⅰ","40","323","19.03","","","","","","","",""
"7","프랑스어 Ⅰ","38","174","10.25","","","","","","","",""
"8","프랑스어 Ⅰ","36","112","6.6","","","","","","","",""
"9","프랑스어 Ⅰ","36","49","2.89","","","","","","","",""
"1","스페인어 Ⅰ","65","113","6.61","","","","","","","",""
"2","스페인어 Ⅰ","63","108","6.32","","","","","","","",""
"3","스페인어 Ⅰ","60","212","12.4","","","","","","","",""
"4","스페인어 Ⅰ","55","262","15.32","","","","","","","",""
"5","스페인어 Ⅰ","46","334","19.53","","","","","","","",""
"6","스페인어 Ⅰ","40","316","18.48","","","","","","","",""
"7","스페인어 Ⅰ","37","236","13.8","","","","","","","",""
"8","스페인어 Ⅰ","35","91","5.32","","","","","","","",""
"9","스페인어 Ⅰ","35","38","2.22","","","","","","","",""
"1","중국어 Ⅰ","66","211","4.26","","","","","","","",""
"2","중국어 Ⅰ","63","393","7.94","","","","","","","",""
"3","중국어 Ⅰ","60","536","10.82","","","","","","","",""
"4","중국어 Ⅰ","55","841","16.98","","","","","","","",""
"5","중국어 Ⅰ","45","1169","23.61","","","","","","","",""
"6","중국어 Ⅰ","41","694","14.01","","","","","","","",""
"7","중국어 Ⅰ","37","718","14.5","","","","","","","",""
"8","중국어 Ⅰ","35","255","5.15","","","","","","","",""
"9","중국어 Ⅰ","35","135","2.73","","","","","","","",""
"1","일본어 Ⅰ","64","444","6.19","","","","","","","",""
"2","일본어 Ⅰ","62","409","5.7","","","","","","","",""
"3","일본어 Ⅰ","60","803","11.19","","","","","","","",""
"4","일본어 Ⅰ","55","1400","19.51","","","","","","","",""
"5","일본어 Ⅰ","47","1278","17.81","","","","","","","",""
"6","일본어 Ⅰ","40","1201","16.74","","","","","","","",""
"7","일본어 Ⅰ","36","1045","14.57","","","","","","","",""
"8","일본어 Ⅰ","35","336","4.68","","","","","","","",""
"9","일본어 Ⅰ","35","258","3.6","","","","","","","",""
"1","러시아어 Ⅰ","71","40","4.09","","","","","","","",""
"2","러시아어 Ⅰ","67","83","8.49","","","","","","","",""
"3","러시아어 Ⅰ","60","103","10.53","","","","","","","",""
"4","러시아어 Ⅰ","48","168","17.18","","","","","","","",""
"5","러시아어 Ⅰ","45","205","20.96","","","","","","","",""
"6","러시아어 Ⅰ","42","280","28.63","","","","","","","",""
"7","러시아어 Ⅰ","-","-","-","","","","","","","",""
"8","러시아어 Ⅰ","40","64","6.54","","","","","","","",""
"9","러시아어 Ⅰ","40","35","3.58","","","","","","","",""
"1","아랍어 Ⅰ","65","527","4.27","","","","","","","",""
"2","아랍어 Ⅰ","58","956","7.74","","","","","","","",""
"3","아랍어 Ⅰ","53","1765","14.28","","","","","","","",""
"4","아랍어 Ⅰ","50","1929","15.61","","","","","","","",""
"5","아랍어 Ⅰ","47","2650","21.45","","","","","","","",""
"6","아랍어 Ⅰ","44","2208","17.87","","","","","","","",""
"7","아랍어 Ⅰ","41","1338","10.83","","","","","","","",""
"8","아랍어 Ⅰ","38","689","5.58","","","","","","","",""
"9","아랍어 Ⅰ","38","294","2.38","","","","","","","",""
"1","기초 베트남어","76","1349","4.9","","","","","","","",""
"2","기초 베트남어","69","1729","6.29","","","","","","","",""
"3","기초 베트남어","51","3831","13.93","","","","","","","",""
"4","기초 베트남어","48","5387","19.58","","","","","","","",""
"5","기초 베트남어","45","6804","24.73","","","","","","","",""
"6","기초 베트남어","44","2306","8.38","","","","","","","",""
"7","기초 베트남어","43","3201","11.64","","","","","","","",""
"8","기초 베트남어","41","1961","7.13","","","","","","","",""
"9","기초 베트남어","41","941","3.42","","","","","","","",""
"1","한문 Ⅰ","68","232","4.44","","","","","","","",""
"2","한문 Ⅰ","66","423","8.1","","","","","","","",""
"3","한문 Ⅰ","59","551","10.55","","","","","","","",""
"4","한문 Ⅰ","51","914","17.51","","","","","","","",""
"5","한문 Ⅰ","46","1124","21.53","","","","","","","",""
"6","한문 Ⅰ","42","890","17.05","","","","","","","",""
"7","한문 Ⅰ","38","625","11.97","","","","","","","",""
"8","한문 Ⅰ","36","279","5.34","","","","","","","",""
"9","한문 Ⅰ","36","183","3.51","","","","","","","",""
