"등급","과목","구분점수","도수(명)","비율(%)","","","","","","","",""
"9","프랑스어Ⅰ","35","75","3.74","","","","","","","",""
"1","스페인어Ⅰ","64","118","6.23","","","","","","","",""
"2","스페인어Ⅰ","63","137","7.23","","","","","","","",""
"3","스페인어Ⅰ","60","272","14.36","","","","","","","",""
"4","스페인어Ⅰ","55","253","13.36","","","","","","","",""
"5","스페인어Ⅰ","45","382","20.17","","","","","","","",""
"6","스페인어Ⅰ","40","321","16.95","","","","","","","",""
"7","스페인어Ⅰ","37","289","15.26","","","","","","","",""
"8","스페인어Ⅰ","35","70","3.7","","","","","","","",""
"9","스페인어Ⅰ","35","52","2.75","","","","","","","",""
"1","중국어Ⅰ","67","253","4.38","","","","","","","",""
"2","중국어Ⅰ","64","393","6.8","","","","","","","",""
"3","중국어Ⅰ","59","773","13.37","","","","","","","",""
"4","중국어Ⅰ","53","1028","17.78","","","","","","","",""
"5","중국어Ⅰ","45","1164","20.13","","","","","","","",""
"6","중국어Ⅰ","41","854","14.77","","","","","","","",""
"7","중국어Ⅰ","38","800","13.84","","","","","","","",""
"8","중국어Ⅰ","36","304","5.26","","","","","","","",""
"9","중국어Ⅰ","36","213","3.68","","","","","","","",""
"1","일본어Ⅰ","65","422","5.35","","","","","","","",""
"2","일본어Ⅰ","62","833","10.57","","","","","","","",""
"3","일본어Ⅰ","59","996","12.63","","","","","","","",""
"4","일본어Ⅰ","55","1004","12.73","","","","","","","",""
"5","일본어Ⅰ","47","1541","19.55","","","","","","","",""
"6","일본어Ⅰ","40","1406","17.83","","","","","","","",""
"7","일본어Ⅰ","37","838","10.63","","","","","","","",""
"8","일본어Ⅰ","34","663","8.41","","","","","","","",""
"9","일본어Ⅰ","34","181","2.3","","","","","","","",""
"1","러시아어Ⅰ","75","71","4.07","","","","","","","",""
"2","러시아어Ⅰ","70","131","7.51","","","","","","","",""
"3","러시아어Ⅰ","51","207","11.86","","","","","","","",""
"4","러시아어Ⅰ","48","289","16.56","","","","","","","",""
"5","러시아어Ⅰ","45","528","30.26","","","","","","","",""
"6","러시아어Ⅰ","44","210","12.03","","","","","","","",""
"7","러시아어Ⅰ","42","184","10.54","","","","","","","",""
"8","러시아어Ⅰ","41","84","4.81","","","","","","","",""
"9","러시아어Ⅰ","41","41","2.35","","","","","","","",""
"1","아랍어Ⅰ","81","445","4.46","","","","","","","",""
"2","아랍어Ⅰ","57","652","6.54","","","","","","","",""
"3","아랍어Ⅰ","51","1519","15.24","","","","","","","",""
"4","아랍어Ⅰ","49","1583","15.88","","","","","","","",""
"5","아랍어Ⅰ","46","2599","26.07","","","","","","","",""
"6","아랍어Ⅰ","45","1040","10.43","","","","","","","",""
"7","아랍어Ⅰ","43","1202","12.06","","","","","","","",""
"8","아랍어Ⅰ","41","607","6.09","","","","","","","",""
"9","아랍어Ⅰ","41","322","3.23","","","","","","","",""
"1","기초 베트남어","81","953","4.17","","","","","","","",""
"2","기초 베트남어","57","1578","6.9","","","","","","","",""
"3","기초 베트남어","52","3053","13.35","","","","","","","",""
"4","기초 베트남어","49","4684","20.49","","","","","","","",""
"5","기초 베트남어","47","4372","19.12","","","","","","","",""
"6","기초 베트남어","44","3753","16.41","","","","","","","",""
"7","기초 베트남어","42","2631","11.51","","","","","","","",""
"8","기초 베트남어","40","1211","5.3","","","","","","","",""
"9","기초 베트남어","40","630","2.76","","","","","","","",""
"1","한문Ⅰ","69","387","6.11","","","","","","","",""
"2","한문Ⅰ","66","412","6.51","","","","","","","",""
"3","한문Ⅰ","58","729","11.52","","","","","","","",""
"4","한문Ⅰ","50","1080","17.06","","","","","","","",""
"5","한문Ⅰ","45","1324","20.92","","","","","","","",""
"6","한문Ⅰ","42","1075","16.99","","","","","","","",""
"7","한문Ⅰ","39","873","13.79","","","","","","","",""
"8","한문Ⅰ","37","233","3.68","","","","","","","",""
"9","한문Ⅰ","37","216","3.41","","","","","","","",""
